"level4_cod";"scientificName";"SSBS";"Best_guess_binomial";"Reference";"SSS";"Diversity_metric_type";"Study_common_taxon";"Predominant_land_use";"Use_intensity";"Km_to_nearest_edge_of_habitat";"Longitude";"Latitude";"Taxon";"Kingdom";"Phylum";"Class";"Order";"Family";"Genus";"Species";"Higher_taxon";"Measurement";"Effort_corrected_measurement";"exist";"note";"status_p";"status.g";"pg"
"BOR-SB";"Tetramorium laparum";"SH1_2001__Floren 1 MK Poring 1";"Tetramorium laparum";"Floren et al. 2001";"SH1_2001__Floren 1 1";"Abundance";"Formicidae";"Primary vegetation";"Minimal use";NA;116.698330555556;6.04944722222222;"Tetramorium laparum";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Tetramorium";"laparum";"Hymenoptera";57;57;"exact";NA;"predicts";NA;"predicts_NA"
"BOR-SB";"Tetramorium laparum";"SH1_2001__Floren 1 MK Poring 10";"Tetramorium laparum";"Floren et al. 2001";"SH1_2001__Floren 1 10";"Abundance";"Formicidae";"Primary vegetation";"Minimal use";NA;116.699386111111;6.04871388888889;"Tetramorium laparum";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Tetramorium";"laparum";"Hymenoptera";2;2;"exact";NA;"predicts";NA;"predicts_NA"
"BOR-SB";"Tetramorium laparum";"SH1_2001__Floren 1 MK Poring 15";"Tetramorium laparum";"Floren et al. 2001";"SH1_2001__Floren 1 15";"Abundance";"Formicidae";"Primary vegetation";"Minimal use";NA;116.709777777778;6.06504722222222;"Tetramorium laparum";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Tetramorium";"laparum";"Hymenoptera";9;9;"exact";NA;"predicts";NA;"predicts_NA"
"BOR-SB";"Tetramorium laparum";"SH1_2001__Floren 1 MK Poring 17";"Tetramorium laparum";"Floren et al. 2001";"SH1_2001__Floren 1 17";"Abundance";"Formicidae";"Primary vegetation";"Minimal use";NA;116.697097222222;6.04913055555556;"Tetramorium laparum";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Tetramorium";"laparum";"Hymenoptera";1;1;"exact";NA;"predicts";NA;"predicts_NA"
"BOR-SB";"Tetramorium laparum";"SH1_2001__Floren 1 MK Poring 18";"Tetramorium laparum";"Floren et al. 2001";"SH1_2001__Floren 1 18";"Abundance";"Formicidae";"Primary vegetation";"Minimal use";NA;116.696552777778;6.04725;"Tetramorium laparum";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Tetramorium";"laparum";"Hymenoptera";1;1;"exact";NA;"predicts";NA;"predicts_NA"
"BOR-SB";"Tetramorium laparum";"SH1_2001__Floren 1 MK Poring 4";"Tetramorium laparum";"Floren et al. 2001";"SH1_2001__Floren 1 4";"Abundance";"Formicidae";"Primary vegetation";"Minimal use";NA;116.698527777778;6.05074444444444;"Tetramorium laparum";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Tetramorium";"laparum";"Hymenoptera";5;5;"exact";NA;"predicts";NA;"predicts_NA"
"BOR-SB";"Tetramorium laparum";"SH1_2001__Floren 1 MK Poring 7";"Tetramorium laparum";"Floren et al. 2001";"SH1_2001__Floren 1 7";"Abundance";"Formicidae";"Primary vegetation";"Minimal use";NA;116.697536111111;6.04693333333333;"Tetramorium laparum";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Tetramorium";"laparum";"Hymenoptera";3;3;"exact";NA;"predicts";NA;"predicts_NA"
"BOR-SB";"Tetramorium laparum";"SH1_2001__Floren 1 MK Sorinsim 45";"Tetramorium laparum";"Floren et al. 2001";"SH1_2001__Floren 1 45";"Abundance";"Formicidae";"Mature secondary vegetation";"Cannot decide";NA;116.700411111111;6.28216111111111;"Tetramorium laparum";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Tetramorium";"laparum";"Hymenoptera";39;39;"exact";NA;"predicts";NA;"predicts_NA"
"BOR-SB";"Tetramorium laparum";"SH1_2001__Floren 1 MK Sorinsim 46";"Tetramorium laparum";"Floren et al. 2001";"SH1_2001__Floren 1 46";"Abundance";"Formicidae";"Mature secondary vegetation";"Cannot decide";NA;116.700177777778;6.281875;"Tetramorium laparum";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Tetramorium";"laparum";"Hymenoptera";107;107;"exact";NA;"predicts";NA;"predicts_NA"
"BOR-SB";"Tetramorium laparum";"SH1_2001__Floren 1 MK Sorinsim 48";"Tetramorium laparum";"Floren et al. 2001";"SH1_2001__Floren 1 48";"Abundance";"Formicidae";"Mature secondary vegetation";"Cannot decide";NA;116.700975;6.28126388888889;"Tetramorium laparum";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Tetramorium";"laparum";"Hymenoptera";52;52;"exact";NA;"predicts";NA;"predicts_NA"
